Module                  Size  Used by
coretemp               24576  0
cmdlinepart            16384  0
spi_nor               163840  0
uvcvideo              143360  0
kvm_intel             487424  0
ee1004                 16384  0
snd_compress           36864  3 snd_soc_avs,snd_soc_core,snd_sof_probes
mei_pxp                16384  0
mei_hdcp               28672  0
ac97_bus               12288  1 snd_soc_core
videobuf2_vmalloc      20480  2 uvcvideo
snd_pcm_dmaengine      16384  1 snd_soc_core
uvc                    12288  1 uvcvideo
intel_rapl_msr         20480  0
mtd                    98304  4 spi_nor,cmdlinepart
kvm                  1425408  1 kvm_intel
videobuf2_memops       16384  1 videobuf2_vmalloc
nvidia_drm            135168  3
videobuf2_v4l2         36864  1 uvcvideo
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
irqbypass              12288  1 kvm
videodev              360448  2 videobuf2_v4l2,uvcvideo
snd_hda_codec_hdmi     98304  2
nvidia_modeset       1818624  3 nvidia_drm
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
polyval_clmulni        12288  0
iwlmvm                909312  0
snd_hda_intel          61440  1
nvidia              14409728  34 nvidia_uvm,nvidia_modeset
snd_intel_dspcfg       45056  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
i915                 4702208  14
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
snd_intel_sdw_acpi     16384  2 snd_intel_dspcfg,snd_sof_intel_hda_generic
mac80211             1814528  1 iwlmvm
snd_hda_codec         204800  10 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_codec_realtek,snd_soc_intel_hda_dsp_common,snd_soc_hdac_hda,snd_sof_intel_hda,snd_soc_skl_hda_dsp
sha256_ssse3           32768  0
libarc4                12288  1 mac80211
sha1_ssse3             32768  0
snd_hda_core          147456  12 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_soc_intel_hda_dsp_common,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
aesni_intel           122880  3
dell_pc                12288  0
drm_buddy              24576  1 i915
snd_hwdep              20480  1 snd_hda_codec
dell_laptop            40960  0
drm_display_helper    278528  1 i915
snd_pcm               192512  13 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
snd_seq_midi           24576  0
snd_seq_midi_event     16384  1 snd_seq_midi
cec                    94208  2 drm_display_helper,i915
snd_rawmidi            57344  1 snd_seq_midi
btusb                  73728  0
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
rapl                   20480  0
rc_core                73728  1 cec
btrtl                  32768  1 btusb
btintel                69632  1 btusb
btbcm                  24576  1 btusb
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
intel_cstate           20480  0
btmtk                  36864  1 btusb
snd                   143360  27 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
drm_ttm_helper         16384  1 nvidia_drm
i2c_i801               36864  0
ttm                   118784  2 drm_ttm_helper,i915
i2c_algo_bit           16384  1 i915
iwlwifi               659456  1 iwlmvm
i2c_smbus              20480  1 i2c_i801
bluetooth            1011712  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
i2c_mux                16384  1 i2c_i801
mei_me                 53248  2
processor_thermal_device_pci_legacy    12288  0
dell_wmi_ddv           24576  0
soundcore              16384  2 snd_ctl_led,snd
alienware_wmi          28672  0
dell_smm_hwmon         36864  0
platform_profile       20480  2 alienware_wmi,dell_pc
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
wmi_bmof               12288  0
processor_thermal_wt_hint    16384  1 processor_thermal_device
processor_thermal_rfim    40960  1 processor_thermal_device
dell_wmi               28672  1 dell_laptop
processor_thermal_rapl    16384  1 processor_thermal_device
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
dell_smbios            36864  3 dell_wmi,dell_pc,dell_laptop
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
dell_wmi_sysman        49152  0
firmware_attributes_class    12288  1 dell_wmi_sysman
dcdbas                 20480  1 dell_smbios
dell_wmi_descriptor    20480  2 dell_wmi,dell_smbios
cfg80211             1437696  3 iwlmvm,iwlwifi,mac80211
joydev                 32768  0
processor_thermal_wt_req    12288  1 processor_thermal_device
intel_pmc_core        122880  0
processor_thermal_power_floor    12288  1 processor_thermal_device
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
pmt_telemetry          16384  1 intel_pmc_core
spi_intel_pci          12288  0
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
intel_pch_thermal      20480  0
intel_wmi_thunderbolt    16384  0
pmt_class              16384  1 pmt_telemetry
spi_intel              36864  1 spi_intel_pci
intel_vsec             20480  1 intel_pmc_core
int3400_thermal        24576  0
int3403_thermal        16384  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
acpi_thermal_rel       20480  1 int3400_thermal
acpi_pad              184320  0
acpi_tad               20480  0
intel_hid              32768  0
input_leds             12288  0
sparse_keymap          12288  2 intel_hid,dell_wmi
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
efi_pstore             12288  0
parport                73728  3 parport_pc,lp,ppdev
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_multitouch         36864  0
hid_generic            12288  0
r8169                 126976  0
i2c_hid_acpi           12288  0
intel_lpss_pci         28672  0
psmouse               217088  0
video                  77824  4 dell_wmi,dell_laptop,i915,nvidia_modeset
ahci                   49152  3
i2c_hid                40960  1 i2c_hid_acpi
intel_lpss             12288  1 intel_lpss_pci
realtek                49152  1
libahci                53248  1 ahci
idma64                 20480  0
hid                   262144  3 i2c_hid,hid_multitouch,hid_generic
wmi                    28672  10 dell_wmi_sysman,video,intel_wmi_thunderbolt,dell_wmi_ddv,alienware_wmi,dell_wmi,wmi_bmof,dell_smm_hwmon,dell_smbios,dell_wmi_descriptor
pinctrl_cannonlake     36864  0
